start_time,end_time,type,start_x,start_y,end_x,end_y,velocity_x,velocity_y,acceleration_x,acceleration_y,total_distance,duration,orientation,motion_x,motion_y,motion_z,gesture_area,previous_gesture,browsing_mode
1743032205.591507,1743032205.591507,0,34.0,327.6666564941406,34.0,327.6666564941406,0,0,0,0,0,0,0,-0.9463772177696228,-0.24879799783229828,-0.2060823142528534,3,1,1
1743032223.8022041,1743032223.845893,1,68.0,365.3333282470703,61.33332824707031,330.6666564941406,-152.59378427787934,-793.4871892821086,-3322.8656095603983,-14122.16458046674,35.30187874160076,0.04368901252746582,0,-0.9020525217056274,-0.34412282705307007,-0.2605392038822174,3,0,1
1743032276.763875,1743032291.905065,2,39.33332824707031,207.0,39.33332824707031,207.0,0,0,0,0,0,15.141189932823181,0,-0.6581057906150818,-0.012699732556939125,-0.7528183460235596,0,1,1
1743032277.1798968,1743032277.295775,1,81.66665649414062,304.0,43.0,213.0,-333.68388652505615,-785.3079740261878,-5210.244393702941,-4862.892117388739,98.8742146590094,0.11587810516357422,0,-0.6590726971626282,-0.031477734446525574,-0.7514201998710632,3,2,1
1743032314.788317,1743032314.788317,0,80.66665649414062,260.3333282470703,80.66665649414062,260.3333282470703,0,0,0,0,0,0,0,-0.733096718788147,-0.01360796857625246,-0.6799883842468262,3,1,1
1743032314.947727,1743032314.947727,0,75.66665649414062,254.66665649414062,75.66665649414062,254.66665649414062,0,0,0,0,0,0,0,-0.735522985458374,-0.025743290781974792,-0.6770104765892029,3,0,1
1743032319.744897,1743032319.827702,1,58.0,287.0,17.0,197.0,-495.138958191469,-1086.8903960300538,-8087.267780734703,-12498.504752044542,98.89893831583835,0.08280503749847412,0,-0.7256760001182556,-0.07682305574417114,-0.6837343573570251,3,0,1
1743032363.871266,1743032364.008295,1,68.0,319.0,37.0,219.66665649414062,-226.22939878188717,-724.9071800104916,-1758.1703579126051,-1904.68902566376,104.05821991583872,0.13702905178070068,0,-0.7333783507347107,-0.033885806798934937,-0.6789757609367371,3,1,1
1743032375.6911201,1743032375.796843,1,85.33332824707031,306.0,67.66665649414062,248.0,-167.10335348287063,-548.603304433913,-951.2192289641365,-2092.6701116173112,60.630943344349866,0.10572302341461182,0,-0.7375308871269226,-0.021081125363707542,-0.6749842762947083,3,1,1
1743032409.25209,1743032417.7665138,2,47.33332824707031,216.66665649414062,47.33332824707031,216.66665649414062,0,0,0,0,0,8.514423966407776,0,-0.7375398874282837,-0.012835136614739895,-0.6751816272735596,0,1,1
1743032438.090241,1743032449.9022698,2,50.0,218.3333282470703,50.0,218.3333282470703,0,0,0,0,0,11.812029004096985,0,-0.7362359762191772,0.00591061357408762,-0.6766991019248962,0,2,1
1743032481.659027,1743032491.491789,2,42.666656494140625,217.0,42.666656494140625,217.0,0,0,0,0,0,9.832762002944946,0,-0.7437103986740112,-0.0036749618593603373,-0.6684918403625488,0,2,1
1743032482.788626,1743032482.877562,1,73.33332824707031,292.0,54.0,235.3333282470703,-217.38450774076804,-637.1617130219154,-2480.1746213981396,-5185.837490529033,59.87394482296324,0.08893609046936035,0,-0.7446466088294983,-0.0038346012588590384,-0.6674479842185974,3,2,1
1743032487.813795,1743032487.929738,1,87.66665649414062,322.0,62.33332824707031,237.0,-218.49798632738398,-733.1183907892342,-2413.636595832906,-6723.694617288962,88.69485622105609,0.1159430742263794,0,-0.7439420223236084,-0.003968336619436741,-0.6682324409484863,3,1,1
1743032491.3082662,1743032491.4742851,1,85.0,322.3333282470703,47.666656494140625,220.3333282470703,-224.87397139878277,-614.3876473071831,-2323.5774108388373,-1975.0410651251404,108.61757931995398,0.16601896286010742,0,-0.7432677149772644,-0.002635761396959424,-0.6689890027046204,3,1,1
1743032614.334138,1743032700.1552649,2,29.666656494140625,208.3333282470703,29.666656494140625,208.3333282470703,0,0,0,0,0,85.82112693786621,0,-0.7563199996948242,0.022193390876054764,-0.6538253426551819,0,1,1
1743032615.3438969,1743032615.426598,1,87.33332824707031,321.6666564941406,75.0,244.66665649414062,-149.13160724530303,-931.0652832592908,-4123.729371765521,-14554.365086464992,77.98147847822572,0.08270096778869629,0,-0.75545734167099,0.029011985287070274,-0.6545552015304565,3,2,1
1743032652.5009189,1743032658.297535,2,35.666656494140625,201.66665649414062,35.666656494140625,201.66665649414062,0,0,0,0,0,5.796616077423096,0,-0.7503126263618469,0.016431031748652458,-0.6608789563179016,0,1,1
1743032656.244197,1743032656.383593,1,69.66665649414062,283.3333282470703,38.0,217.0,-227.17055975261215,-475.8626573326104,-1150.332171002588,-1725.5048387824722,73.5043370819129,0.13939595222473145,0,-0.7500555515289307,0.007727531716227531,-0.6613296866416931,3,2,1
1743032680.8359609,1743032680.8359609,0,362.6666564941406,400.0,362.6666564941406,400.0,0,0,0,0,0,0,0,-0.9475125670433044,-0.15929938852787018,-0.27720722556114197,5,1,1
1743032684.465791,1743032684.6986089,1,79.0,444.6666564941406,70.33332824707031,389.3333282470703,-37.22509202419434,-237.6677339032544,-86.11119567546201,-258.3257035515462,56.00793170767029,0.23281800746917725,0,-0.6571300029754639,-0.1461009979248047,-0.7394827604293823,3,0,1
1743032687.361584,1743032687.626636,1,132.66665649414062,495.0,112.0,440.3333282470703,-77.97205923492568,-206.24879352420461,-378.001579368006,-831.6062431927663,58.44275567758048,0.26505208015441895,0,-0.6634066104888916,-0.1303727626800537,-0.7368138432502747,4,1,1
1743032688.19298,1743032688.408643,1,135.0,494.6666564941406,105.66665649414062,427.6666564941406,-136.01475198882105,-310.66995078248334,-92.59385265476384,-277.77308100259097,73.13990047322147,0.21566295623779297,0,-0.6639248728752136,-0.13041181862354279,-0.7363399267196655,4,1,1
1743032691.853703,1743032691.959449,1,129.66665649414062,476.6666564941406,112.0,434.6666564941406,-167.06685214787692,-397.17802814233954,-950.4380038783886,-2090.9601279351527,45.564358348186595,0.10574603080749512,0,-0.6648626327514648,-0.12339897453784943,-0.7367025017738342,3,1,1
1743032692.552556,1743032692.618597,1,120.0,450.3333282470703,94.0,398.6666564941406,-393.69486923998903,-782.3424453782726,-7296.925351949372,-12465.585448840375,57.839821663149884,0.0660409927368164,0,-0.6656554937362671,-0.12345314025878906,-0.7359769940376282,3,1,1
1743032695.697352,1743032695.98036,1,131.3333282470703,470.0,114.66665649414062,429.6666564941406,-58.89117256932583,-142.5166300694638,-70.84897271169487,0.0,43.64122529995638,0.28300797939300537,0,-0.6670352220535278,-0.12000469863414764,-0.7352978587150574,4,1,1
1743032698.573594,1743032698.573594,0,35.0,184.0,35.0,184.0,0,0,0,0,0,0,0,-0.8184012174606323,-0.38669025897979736,-0.4250764846801758,0,1,1
1743032700.323271,1743032700.431188,1,167.66665649414062,462.6666564941406,131.0,375.6666564941406,-339.7673497386976,-806.1754807665753,-2599.9775596832733,-5014.253366736946,94.41103589337057,0.1079169511795044,0,-0.7104380130767822,-0.255269318819046,-0.6558318138122559,4,0,1
1743032727.081685,1743032727.180303,1,77.0,344.6666564941406,29.0,278.6666564941406,-486.72641030476217,-669.248814169048,-6340.357739842603,-6340.357739842603,81.60882305241266,0.0986180305480957,0,-0.611053466796875,-0.16408661007881165,-0.7743960618972778,3,1,1
