start_time,end_time,type,start_x,start_y,end_x,end_y,velocity_x,velocity_y,acceleration_x,acceleration_y,total_distance,duration,orientation,motion_x,motion_y,motion_z,gesture_area,previous_gesture,browsing_mode
1743162388.035881,1743165952.0912051,1,102.33332824707031,755.6666564941406,49.33332824707031,401.6666564941406,-0.014870700699768001,-0.09932505750411079,-4.697286930221507e-06,-2.723901350801991e-05,357.94552658190884,3564.055323958397,0,-0.32690227031707764,-0.19844868779182434,-0.9239875674247742,6,1,2
1743165952.573914,1743165952.7787108,1,90.33332824707031,377.0,46.0,280.6666564941406,-216.47459517416286,-470.38475029409864,-686.7172995715265,-588.6161112854629,106.04507091081783,0.2047969102859497,0,-0.1438555121421814,-0.3221513330936432,-0.9356944561004639,3,1,2
1743165953.156316,1743165953.3719,1,96.33332824707031,405.0,45.0,324.6666564941406,-238.11297305038738,-372.6314250498632,279.54984750761423,186.36798686912803,95.33392191529659,0.2155839204788208,0,-0.13332109153270721,-0.33764809370040894,-0.9317828416824341,3,1,2
1743165954.021492,1743165954.2085052,1,95.33332824707031,421.6666564941406,49.33332824707031,317.6666564941406,-245.97216561414962,-556.1109831276426,0.0,-127.5762849869935,113.718951806636,0.18701303005218506,0,-0.08134286850690842,-0.36229780316352844,-0.9285061359405518,3,1,2
1743165954.754304,1743165954.9524179,1,83.0,383.3333282470703,47.666656494140625,321.6666564941406,-178.34861784704253,-311.26875022564536,-696.268318880057,-609.2362730469296,71.07196049347894,0.19811391830444336,0,-0.11548880487680435,-0.37464019656181335,-0.919949471950531,3,1,2
1743165956.284155,1743165956.472282,1,72.33332824707031,407.6666564941406,43.0,343.6666564941406,-155.92297690168834,-340.19564495565623,-533.686788833495,-213.47764718038042,70.40201805381983,0.1881270408630371,0,-0.07178927212953568,-0.3442365825176239,-0.9361343383789062,3,1,2
1743165956.83323,1743165956.965507,1,52.33332824707031,396.3333282470703,41.666656494140625,371.6666564941406,-80.63889259386096,-186.4773886555758,-302.4930664747001,0.0,26.87419918158544,0.1322770118713379,0,-0.009264136664569378,-0.34244340658187866,-0.9394927620887756,3,1,2
1743165960.59355,1743165960.826212,1,41.33332824707031,418.6666564941406,36.33332824707031,379.6666564941406,-21.4903948381702,-167.62507973772756,-172.6951780912841,0.0,39.319206502675,0.23266208171844482,0,-0.02140164002776146,-0.3505224287509918,-0.9363097548484802,3,1,2
1743165964.404129,1743165964.6256518,1,48.0,409.0,33.0,344.3333282470703,-67.7130813676599,-291.91864041212546,-452.8800146066828,-362.3015239487174,66.3835705246498,0.22152292728424072,0,0.06486649066209793,-0.2923032343387604,-0.9541232585906982,3,1,2
1743165966.533453,1743165966.682601,1,80.33332824707031,416.6666564941406,59.0,347.3333282470703,-143.03463710012596,-464.8626473051863,-1075.9661622311355,-1344.9607811645453,72.5411696894477,0.14914798736572266,0,0.06061768904328346,-0.20769551396369934,-0.9763135313987732,3,1,2
1743165974.588088,1743165974.842461,1,50.0,467.0,33.666656494140625,375.3333282470703,-64.21022056532018,-360.3632783228319,-237.5359711446471,-79.17744887778954,93.1104549464761,0.2543729543685913,0,-0.12655822932720184,-0.670141339302063,-0.7313642501831055,3,1,2
1743165975.237001,1743165975.4023829,1,44.33332824707031,467.6666564941406,34.666656494140625,361.3333282470703,-58.45055772800173,-642.9557659524625,-361.74881051368965,-482.32990740198846,106.77181856125749,0.1653820276260376,0,-0.0732724741101265,-0.6822156310081482,-0.7274702787399292,3,1,2
1743165977.5333261,1743165977.688643,1,64.33332824707031,373.0,30.0,316.0,-221.05332671217053,-366.99149968569947,-128.50973644275865,-128.5156192414056,66.54154663457317,0.15531694889068604,0,-0.05945691466331482,-0.6903272867202759,-0.7210500240325928,3,1,2
1743165981.593693,1743165981.716001,1,73.0,358.3333282470703,41.666656494140625,320.6666564941406,-256.18389191359796,-307.965684009848,-1151.7424991896428,-822.6775176009672,48.995475058408516,0.12230801582336426,0,-0.058975886553525925,-0.6789488792419434,-0.7318130731582642,3,1,2
1743165982.076386,1743165982.2477078,1,76.66665649414062,377.3333282470703,42.33332824707031,333.0,-200.402345470524,-258.7719693031988,-351.79323301512096,-234.53061132299274,56.073357505891856,0.17132198810577393,0,-0.0363105870783329,-0.6693191528320312,-0.7420872449874878,3,1,2
1743165984.455556,1743165984.6717238,1,77.66665649414062,421.0,47.666656494140625,356.3333282470703,-138.78099515371568,-299.1501686383419,-92.7551146620186,-92.75086879940476,71.28659365968579,0.21616792678833008,0,-0.0015192494029179215,-0.6424788236618042,-0.7663019895553589,3,1,2
1743165985.1710749,1743165985.437598,1,110.66665649414062,450.0,84.33332824707031,384.0,-98.80320983004862,-247.63340917639977,-150.68983031466942,-75.34491515733471,71.0594411501241,0.26652300357818604,0,-0.02489626593887806,-0.6469184756278992,-0.7621526718139648,3,1,2
1743165986.402813,1743165986.802431,1,111.0,412.3333282470703,95.66665649414062,387.3333282470703,-38.369999275111354,-62.559739923078276,-50.22994591088781,-50.23224529042138,29.327656283253866,0.3996180295944214,0,-0.03577819839119911,-0.645063579082489,-0.7632908821105957,3,1,2
1743165988.9632978,1743165988.9632978,0,129.3333282470703,378.6666564941406,129.3333282470703,378.6666564941406,0,0,0,0,0,0,0,-0.09364883601665497,-0.6679807901382446,-0.7382625341415405,3,1,2
1743165991.511845,1743165991.7113008,1,74.66665649414062,463.0,55.0,409.6666564941406,-98.60149011629505,-267.3940608119496,0.0,-100.60087509579768,56.84384669577276,0.19945597648620605,0,0.0773131251335144,-0.5288777947425842,-0.845169186592102,3,0,2
1743165992.32761,1743165992.576586,1,84.66665649414062,475.0,60.666656494140625,406.0,-96.39483625575875,-277.1351542353064,-80.51353579244243,-80.5098502877371,73.05477397131553,0.2489759922027588,0,0.05193851515650749,-0.5369146466255188,-0.842036247253418,3,1,2
1743165994.573732,1743165994.8235369,1,100.33332824707031,452.0,80.0,405.6666564941406,-81.39681109569194,-185.47806650008877,-79.88190468504155,-159.7674661292813,50.59864581226526,0.24980497360229492,0,0.015593132935464382,-0.5485643744468689,-0.8359629511833191,3,1,2
1743165996.254496,1743165996.504039,1,98.66665649414062,432.0,80.33332824707031,392.3333282470703,-73.46759094051122,-158.95721578985334,-80.12837495166328,-80.124707077684,43.698464190054736,0.24954307079315186,0,0.0050339060835540295,-0.5559920072555542,-0.8311724066734314,3,1,2
1743165998.417471,1743165998.667058,1,84.33332824707031,436.3333282470703,67.0,394.6666564941406,-69.44805789977202,-166.94251624048866,-79.90891733530236,0.0,45.12821515512301,0.24958693981170654,0,0.03266321122646332,-0.5360828638076782,-0.8435332179069519,3,1,2
1743166001.712393,1743166001.8615708,1,24.666656494140625,325.0,117.0,352.0,618.9478334179056,180.99194578850003,2827.587879625398,1077.1783896461995,96.20003286366915,0.1491779088973999,0,-0.10761628299951553,-0.6102478504180908,-0.7848670482635498,3,1,2
1743166004.7411861,1743166004.86349,1,102.0,443.3333282470703,79.0,388.6666564941406,-188.0560489687707,-446.9738391360287,-983.9216549468204,-1475.8824824202306,59.30805173450364,0.12230396270751953,0,-0.006387120112776756,-0.5406726002693176,-0.8412088751792908,3,1,2
1743166005.55376,1743166005.55376,0,97.0,459.3333282470703,97.0,459.3333282470703,0,0,0,0,0,0,0,0.02468181774020195,-0.5195448994636536,-0.8540865778923035,3,1,2
1743166006.056478,1743166006.355381,1,96.0,432.6666564941406,72.0,380.6666564941406,-80.29361006309375,-173.96948847003645,0.0,11.083181112457813,57.271284253105414,0.2989029884338379,0,-0.00125222560018301,-0.5397588610649109,-0.8418187499046326,3,0,2
1743166006.819644,1743166006.819644,0,104.33332824707031,470.6666564941406,104.33332824707031,470.6666564941406,0,0,0,0,0,0,0,0.02562890388071537,-0.519698441028595,-0.8539652824401855,3,1,2
1743166011.497713,1743166011.813396,1,142.0,468.0,77.0,386.3333282470703,-205.90275215707925,-258.698345745185,-63.341101238195265,0.0,104.37645939195659,0.3156830072402954,0,-0.003206114284694195,-0.5244430899620056,-0.8514395356178284,4,0,2
1743166012.628964,1743166012.945262,1,117.66665649414062,467.6666564941406,83.66665649414062,401.6666564941406,-107.49356348697847,-208.6639761806053,-62.96373696002311,0.0,74.24284477308234,0.3162980079650879,0,0.005952861625701189,-0.5186085104942322,-0.8549911379814148,3,1,2
1743166014.409801,1743166014.675947,1,121.33332824707031,480.0,97.66665649414062,427.6666564941406,-88.92366099702856,-196.6340068995975,-75.6341679907791,0.0,57.435966034908766,0.2661459445953369,0,0.011024977080523968,-0.5199760794639587,-0.8541097044944763,3,1,2
