start_time,end_time,type,start_x,start_y,end_x,end_y,velocity_x,velocity_y,acceleration_x,acceleration_y,total_distance,duration,orientation,motion_x,motion_y,motion_z,gesture_area,previous_gesture,browsing_mode
1743070914.745969,1743070914.745969,0,139.3333282470703,497,139.3333282470703,497,0,0,0,0,0,0,0,-0.04459225,-0.700415015,-0.712341487,4,-1,2
1743070915.2099729,1743070915.2099729,0,121.66665649414062,483.6666564941406,121.66665649414062,483.6666564941406,0,0,0,0,0,0,0,-0.015591122,-0.710630178,-0.703393042,3,0,2
1743070917.029986,1743070917.4402208,1,129.66665649414062,641,105,492,-60.12812367,-363.2065185,-48.82414349,0,151.02795748668498,0.4102349281311035,0,-0.046415638,-0.746308327,-0.663980067,6,0,2
1743070917.963836,1743070918.1295319,1,112.66665649414062,640,116,609.6666564941406,20.117220723776743,-183.0662113,241.5323694344526,0,30.515945129923733,0.16569602489471436,0,-0.025371805,-0.740105391,-0.672012091,6,1,2
1743070918.493835,1743070918.493835,0,204.3333282470703,520.3333282470703,204.3333282470703,520.3333282470703,0,0,0,0,0,0,0,-0.015135685,-0.748986125,-0.662412822,7,1,2
1743070919.430752,1743070919.507256,1,217.3333282470703,538.3333282470703,121.66665649414062,530.6666564941406,-1250.479474,-100.2127019,-8342.377097,0,95.97338141406692,0.076503992,0,0.008775867,-0.752105117,-0.65898478,7,0,2
1743070920.565017,1743070920.623596,1,232.3333282470703,548,156.3333282470703,536.3333282470703,-1297.393971,-199.1614421,-27822.09432,-4750.104193,76.89025445263273,0.058578968,0,0.008019269,-0.762228131,-0.647258878,7,1,2
1743070921.614318,1743070921.686899,1,230,533.6666564941406,130,537.3333282470703,-1377.772303,50.51838785388263,-7560.46037,560.0255560703519,100.06719982963315,0.072580934,0,0.003573528,-0.74750042,-0.664251864,7,1,2
1743070922.180759,1743070922.4409518,1,136.66665649414062,623.6666564941406,111.33332824707031,480.3333282470703,-97.36360775,-550.8731349,-154.1191842,0,145.55487111895712,0.26019299030303955,0,-0.018499147,-0.749001682,-0.662309885,7,1,2
1743070923.2262201,1743070923.2262201,0,282.6666564941406,679.6666564941406,282.6666564941406,679.6666564941406,0,0,0,0,0,0,0,-0.062942065,-0.760927558,-0.645776749,8,1,2
1743070924.148438,1743070924.4062529,1,135,643.6666564941406,120,534.3333282470703,-58.18125323,-424.0766705,-389.2240068,0,110.35749483193982,0.25781500339508057,0,-0.055461451,-0.753737926,-0.654830694,7,0,2
1743070925.0607672,1743070925.0607672,0,108,590.6666564941406,108,590.6666564941406,0,0,0,0,0,0,0,-0.067993775,-0.753196061,-0.654272676,6,1,2
1743070925.810192,1743070925.810192,0,227.66665649414062,560,227.66665649414062,560,0,0,0,0,0,0,0,-0.065440677,-0.750745296,-0.657342434,7,0,2
1743070926.0120568,1743070926.0120568,0,112.33332824707031,514,112.33332824707031,514,0,0,0,0,0,0,0,-0.049131069,-0.742935658,-0.667557359,3,0,2
1743070926.243912,1743070926.243912,0,209.3333282470703,601,209.3333282470703,601,0,0,0,0,0,0,0,-0.047379252,-0.745087683,-0.665281653,7,0,2
1743070926.4607658,1743070926.4607658,0,220,594.6666564941406,220,594.6666564941406,0,0,0,0,0,0,0,-0.061995387,-0.754814565,-0.653001964,7,0,2
1743070926.6611319,1743070926.6611319,0,223.3333282470703,511.3333282470703,223.3333282470703,511.3333282470703,0,0,0,0,0,0,0,-0.07896322,-0.761793315,-0.642989814,4,0,2
1743070926.860671,1743070926.860671,0,127.66665649414062,516.3333282470703,127.66665649414062,516.3333282470703,0,0,0,0,0,0,0,-0.074239716,-0.751207471,-0.655878007,3,0,2
1743070927.025663,1743070927.025663,0,153,589.6666564941406,153,589.6666564941406,0,0,0,0,0,0,0,-0.06728141,-0.748909235,-0.659248292,7,0,2
1743070927.2275472,1743070927.2275472,0,245,551.6666564941406,245,551.6666564941406,0,0,0,0,0,0,0,-0.068408281,-0.76100111,-0.645133793,7,0,2
1743070928,1743070928,0,317,507,317,507,0,0,0,0,0,0,0,-0.121244416,-0.80256319,-0.584116697,5,0,2
1743070928.8603392,1743070928.8603392,0,166,257,166,257,0,0,0,0,0,0,0,-0.323589385,-0.761269748,-0.561923802,1,0,2
1743070929.748917,1743070929.858941,1,88.33332824707031,458,268.3333282470703,499,1636.0070556521061,372.64605156520196,4148.717425981737,3787.9568759122403,184.61040057374882,0.11002397537231445,0,-0.306888789,-0.470604479,-0.827254951,3,0,2
1743070930.9157991,1743070931.2205749,1,109.66665649414062,638.3333282470703,85.33332824707031,501.6666564941406,-79.84005294,-448.4168461,-131.4867767,131.48376726398362,138.8160294476207,0.3047759532928467,0,-0.073139146,-0.761798918,-0.643671691,6,1,2
1743070932.1665459,1743070932.394655,1,97.66665649414062,675,82.33332824707031,546.6666564941406,-67.21930351,-562.5965758,0,43.97500551310386,129.24611410222477,0.22810900211334229,0,0.013299533165991306,-0.768312871,-0.639936328,6,1,2
1743070933.132708,1743070933.366733,1,110.33332824707031,631,93,491.3333282470703,-74.06613881,-596.8023538,0,-255.198473,140.73813792523083,0.2340250015258789,0,-0.042858694,-0.719204843,-0.693475068,6,1,2
1743070933.799664,1743070934.076715,1,112,640.6666564941406,100,491.6666564941406,-43.31332936,-537.8071729,-140.5270609,-70.26353047,149.4824404403407,0.2770509719848633,0,-0.029138433,-0.749937296,-0.660866916,6,1,2
1743070934,1743070934.612001,1,121.66665649414062,652,112.33332824707031,547.6666564941406,-47.69180426,-533.126583,0,34.07958421446555,104.74997653116304,0.19570088386535645,0,-0.053274509,-0.724534154,-0.687176943,6,1,2
1743070934.946063,1743070934.946063,0,143.3333282470703,548,143.3333282470703,548,0,0,0,0,0,0,0,-0.064405181,-0.716720045,-0.694380581,7,1,2
1743070936.1667051,1743070937,1,192,561,50,561.3333282470703,-239.3776282,0.5619107408839419,-1352.468445,473.36256260824075,142.0003912238283,0.5932049751281738,0,-0.056797784,-0.714364827,-0.697464705,7,0,2
1743070938.434412,1743070938.5257468,1,204,569.3333282470703,69.66665649414062,563.3333282470703,-1470.777174,-65.69227577,-2633.004367,0,134.46727177072944,0.091334939,0,-0.053170677,-0.671814322,-0.738808811,7,1,2
1743070941.2343612,1743070941.2953749,1,193.3333282470703,564,82,559.6666564941406,-1824.719625,-71.02219131,-31098.62613,-634.6563528,111.41762806894462,0.061013937,0,-0.051425617,-0.678105056,-0.733163714,7,1,2
1743070943,1743070942.828497,1,127.66665649414062,642,110.33332824707031,486,-62.58942558,-563.3049955,-216.5088577,0,156.96000849936485,0.27693700790405273,0,-0.135760903,-0.637517154,-0.758380532,6,1,2
1743070944,1743070943.934964,1,119,610.6666564941406,93.33332824707031,477.6666564941406,-118.3429107,-613.231325,0,-277.4397366,135.4539702,0.21688389778137207,0,-0.064042076,-0.729169846,-0.681329548,6,1,2
1743070944.301563,1743070944.532714,1,126,628.3333282470703,92.66665649414062,494,-144.2059334,-581.1497121,-129.464333,0,138.40720670259464,0.23115098476409912,0,-0.046433948,-0.668550551,-0.742215693,6,1,2
1743070945.0015059,1743070945.276826,1,122.66665649414062,635.3333282470703,103,504.6666564941406,-71.43197988,-474.5991811,-150.8117592,0,132.13839897867084,0.27532005310058594,0,-0.053312089,-0.668992221,-0.741355062,6,1,2
1743070945.769034,1743070945.980664,1,131.66665649414062,630.3333282470703,114.66665649414062,512.6666564941406,-80.32888089,-556.0018859,-62.63265378,62.631220245000165,118.88837471095188,0.2116299867630005,0,-0.046097178,-0.668134809,-0.742610872,6,1,2
1743070946.5189219,1743070946.781946,1,130,655.3333282470703,108.33332824707031,504.3333282470703,-82.37527381,-574.0921581,-75.72568592,0,152.54653278540684,0.2630239725112915,0,-0.061747655,-0.661506474,-0.747393072,6,1,2
1743070947.629874,1743070947.629874,0,213.3333282470703,543,213.3333282470703,543,0,0,0,0,0,0,0,-0.04275189,-0.685550153,-0.72676909,7,1,2
1743070949.6454458,1743070949.6454458,0,133,550.6666564941406,133,550.6666564941406,0,0,0,0,0,0,0,-0.047051467,-0.660621405,-0.749243379,6,0,2
1743070950.569744,1743070950.796071,1,128,648.6666564941406,107.33332824707031,500,-91.31330386,-656.8664631,-437.2924616,0,150.09625603088887,0.2263270616531372,0,-0.054098606,-0.656119049,-0.752715886,6,0,2
1743070951,1743070951,1,132.66665649414062,632.6666564941406,117,522,-64.10776934,-452.846623,-40.65742422,0,111.77008985098614,0.24437999725341797,0,-0.057954565,-0.655449867,-0.753011823,6,1,2
1743070952.682122,1743070952.682122,0,127,651.3333282470703,127,651.3333282470703,0,0,0,0,0,0,0,-0.059318118,-0.670625389,-0.739420712,6,1,2
1743070953.636818,1743070953.9289532,1,110,647,90,486.3333282470703,-68.46149891,-549.9740587,-267.7045324,-66.92536719,161.90669971364267,0.29213500022888184,0,-0.037470613,-0.66650182,-0.744561195,6,0,2
1743070954,1743070954.599185,1,112,653.3333282470703,91.66665649414062,506.3333282470703,-72.81019873,-526.3816652,-35.66070965,35.660709654976735,148.3996120551778,0.27926504611968994,0,-0.032016274,-0.66803509,-0.743440747,6,1,2
1743070955.498158,1743070955.498158,0,106,724.3333282470703,106,724.3333282470703,0,0,0,0,0,0,0,-0.020174252,-0.667529523,-0.744310021,6,1,2
1743070956.8150969,1743070956.8150969,0,191.66665649414062,483.6666564941406,191.66665649414062,483.6666564941406,0,0,0,0,0,0,0,-0.012224299,-0.677503765,-0.735417724,4,0,2
1743070957.082377,1743070957.082377,0,193,558.3333282470703,193,558.3333282470703,0,0,0,0,0,0,0,0.008264194,-0.665122151,-0.746688902,7,0,2
1743070957.331439,1743070957.331439,0,135.66665649414062,616,135.66665649414062,616,0,0,0,0,0,0,0,0.017107415944337845,-0.658328772,-0.752536118,7,0,2
1743070957.651748,1743070957.651748,0,102,502.6666564941406,102,502.6666564941406,0,0,0,0,0,0,0,-0.000553696,-0.67361331,-0.739083827,3,0,2
1743070957.881823,1743070957.881823,0,104.33332824707031,571,104.33332824707031,571,0,0,0,0,0,0,0,-0.003821193,-0.674825251,-0.73796773,6,0,2
1743070959,1743070959,0,202.3333282470703,595.3333282470703,202.3333282470703,595.3333282470703,0,0,0,0,0,0,0,-0.005588109,-0.68351686,-0.729913414,7,0,2
1743070958.931519,1743070958.931519,0,189.3333282470703,485.6666564941406,189.3333282470703,485.6666564941406,0,0,0,0,0,0,0,-0.004406812,-0.695004463,-0.718991935,4,0,2
1743070959.183199,1743070959.183199,0,252,530,252,530,0,0,0,0,0,0,0,-0.034068864,-0.696463943,-0.716782689,7,0,2
1743070959.649142,1743070959.649142,0,95,552,95,552,0,0,0,0,0,0,0,-0.009475991,-0.687117696,-0.726484358,6,0,2
1743070959.834083,1743070959.834083,0,131.66665649414062,614.6666564941406,131.66665649414062,614.6666564941406,0,0,0,0,0,0,0,-0.010814279,-0.680324137,-0.732831657,6,0,2
1743070960.033904,1743070960.033904,0,139.3333282470703,645.6666564941406,139.3333282470703,645.6666564941406,0,0,0,0,0,0,0,-0.013252421,-0.677089155,-0.735781729,7,0,2
1743070960.266762,1743070960.266762,0,211.66665649414062,582.6666564941406,211.66665649414062,582.6666564941406,0,0,0,0,0,0,0,-0.013255166,-0.706257105,-0.707831442,7,0,2
1743070960.533361,1743070960.533361,0,220,536.6666564941406,220,536.6666564941406,0,0,0,0,0,0,0,-0.007412984,-0.714138329,-0.699965477,7,0,2
1743070960.782103,1743070960.782103,0,130.3333282470703,522,130.3333282470703,522,0,0,0,0,0,0,0,-0.011203225,-0.699561119,-0.71448499,6,0,2
1743070962.050998,1743070962.050998,0,217.66665649414062,498,217.66665649414062,498,0,0,0,0,0,0,0,-0.043322481,-0.721675932,-0.690874159,4,0,2
1743070963.237937,1743070963.347619,1,98.33332824707031,540.3333282470703,218.3333282470703,557.3333282470703,1094.0711242500652,154.99340926875925,6716.414566168487,1996.775491367095,121.19818480488888,0.10968208312988281,0,-0.024349989,-0.667842031,-0.74390471,6,0,2
1743070964.706722,1743070964.9302158,1,117.66665649414062,654,94.66665649414062,508.6666564941406,-102.9110707,-650.2786949,-182.1099515,0,147.1420427158469,0.22349393367767334,0,-0.035892714,-0.6929003,-0.720139563,6,1,2
1743070965.306672,1743070965.505468,1,125.33332824707031,640.3333282470703,94.33332824707031,493,-155.9387247,-741.128107,0,-100.9957187,150.55932256874354,0.19879603385925293,0,-0.008681175,-0.731357336,-0.681939304,6,1,2
1743070966.639744,1743070967.098721,1,162.66665649414062,659,134.3333282470703,501,-61.73147943,-344.2438412,-130.222664,0,160.52033357041168,0.45897698402404785,0,-0.009243352,-0.694832444,-0.719112337,7,1,2
1743070967.7070441,1743070968.055654,1,127.33332824707031,670.6666564941406,123,521.6666564941406,-12.43030236,-427.4116675,0,-114.7988655,149.06299921072585,0.3486100435256958,0,-0.016632514,-0.69711256,-0.716768801,6,1,2
1743070968.5391269,1743070968.9221702,1,127.66665649414062,661,124.66665649414062,525.3333282470703,-7.832017821,-354.1812637,0,-51.51919881,135.69983723098997,0.3830430507659912,0,-0.036841571,-0.699121296,-0.714053333,6,1,2
